Id,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
1503960366,375619,242.09999895100003,242.09999895100003,0.0,88.61000049,24.619999750999998,128.740000485,0.0,1200,594,6818,24853,56309
1624580081,175090,119.430000667,119.430000667,0.0,29.120000126,11.180000022,78.889999632,0.18,269,180,4651,38100,44982
1644430081,218489,158.86000061700003,158.86000061700003,0.0,21.900000027999994,28.530000055999995,108.270000638,0.11999999999999998,287,641,5354,34856,84339
1844505072,79982,52.890000142000005,52.890000142000005,0.0,0.25999999799999995,1.51999995,51.06999949200001,0.0,4,40,3579,36694,48113
1927972279,28400,19.669999817999997,19.669999817999997,0.0,2.9699999760000004,0.9700000119999999,15.719999828999999,0.0,41,24,1196,39874,65974
2022484408,343373,244.19999837799998,244.19999837799998,0.0,73.78999942700003,21.650000079,148.77999972900008,0.0,1109,584,7745,33762,75956
2026352035,163682,101.58999994800001,101.58999994800001,0.0,0.189999998,0.349999994,101.01000002400002,0.0,3,8,7613,21042,46396
2320127002,143562,97.02999907600001,97.02999907600001,0.0,3.3099999839999996,3.0299999709999996,90.59999960500001,0.0,42,80,6016,36993,52324
2873212765,226663,153.039998531,153.039998531,0.0,20.959999957,8.560000003,123.340000688,0.16000000000000003,437,190,9280,33293,57995
3977333714,329537,225.509998319,225.509998319,0.0,48.449999473999995,82.529999376,94.03000032799997,0.0,567,1838,5243,21226,45410
4020332650,69694,49.990000220000006,49.990000220000006,0.0,4.409999892,4.019999922,40.149999545,0.17,161,166,2364,37634,72840
4319703577,225317,151.649999458,151.649999458,0.0,8.620000003000001,15.570000005999999,116.81999878900004,0.0,111,382,7090,22810,62911
4388161847,331863,257.600002768,257.600002768,0.0,53.29999987299999,27.959999812,164.69000053399998,0.0,718,631,7002,25112,94287
4445114986,147925,100.09999966499997,100.09999966499997,0.0,16.220000140000003,2.33999998,81.47000002799997,0.0,205,54,6424,25347,66560
4558609924,231932,153.33000040099998,153.33000040099998,0.0,17.030000010000002,21.150000052000003,115.11000025200002,0.0,322,425,8587,33166,61579
4702921684,265734,215.609999784,215.609999784,0.0,12.939999997,40.449999989999995,161.99000156099996,0.0,159,807,7362,23759,91932
5553957443,266990,174.830000951,174.830000951,0.0,45.390000017,20.740000158999997,108.639998971,0.0,726,403,6392,20719,58146
5577150313,249133,186.39999914000003,186.39999914000003,0.0,93.409999671,19.740000143000003,72.83999967500002,0.0,2620,895,4438,22633,100789
6962181067,303639,204.16000080299997,202.10000038299998,10.034689188,50.110000196000016,29.759999798000003,124.05000066699998,0.21,707,574,7620,20532,61443
7086361926,290525,198.02999974000002,198.02999974000002,0.0,86.22000008700002,23.969999947,87.37999952900003,0.0,1320,786,4459,26364,79557
8053475328,457662,355.72999717600004,355.72999717600004,0.0,263.960000992,13.139999907,78.549999597,0.0,2640,297,4680,35588,91320
8378563200,270249,214.320002325,214.320002325,34.600891589,77.61000046100003,16.0899999,120.56999945400001,0.0,1819,318,4839,22200,106534
8583815059,223154,174.07999849,174.07999849,0.0,24.7400003,31.639999739999997,81.13999974800001,0.0,300,688,4287,39284,84693
8877689391,497241,409.5999972959999,409.5999972959999,0.0,205.76000023400002,10.46999998,191.849999906,0.16000000199999997,2048,308,7276,34499,106028
